time,type,sellToken,sellTokenAmount,buyToken,buyTokenAmount,utilityToken,utilityTokenAmount,utilityTokenTotalSupply,balanceOfBaseToken,balanceOfTargetToken,owner,exchangeRate
1661754750.038849,Staked,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,1000000,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,1000000000000000000,1000000,0,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661755155.525551,Minted,,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,,,,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661755155.527295,Staked,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,1000000,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,2000000000000000000,2000000,0,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661755155.541922,Minted,,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,,,,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661755155.541992,Staked,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,1000000,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,1000000000000000000,2000000000000000000,2000000,0,0x8dC378361093603ccD115e4a3c75fDA20fAe3F0d,
1661755304.899447,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661755304.900717,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661755304.91417,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661755304.914246,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661755962.527713,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661755962.544268,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661756141.858402,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661756141.861497,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661756141.877824,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661756141.877927,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661756249.071562,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661756249.073007,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
1661756416.030208,Swapped,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,42424000,0x831fB83dCDC723f24C5ABA5cf916199D996D9ACF,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,2000000000000000000,2000000,0,,
1661756416.031261,ExchangeRate,0xF7e7C32d1fe4B7e3394419A9d39FDFe0BC139bD5,,,,0xB2f967656A196714E6CCa7aB42A9a222838b0bbA,,,,,,1000000000000000000
